,StarTag,RA,DEC,raw_x,raw_y,Bmag,Vmag,Unnamed: 0,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcentroid_adj,ycentroid_adj
894,RightTop,13:41:45.9732,28:27:16.700,2113.06,1930.32,11.0,9.8,894,895,2102.602811143261,1931.581119231921,0.3973824695987756,0.0146610040902191,0.1659934966198866,25,0.0,19678.60436873613,25.591491411057167,-3.520238990677173,2110.642811143261,1929.3911192319213
1523,LeftBottom,13:42:43.7230,28:15:53.329,879.56,817.4,12.857,12.772,283,284,869.9008898222394,819.5084368265261,0.3328313168126403,0.050895833516114,0.0044916317746097,25,0.0,2248.5924104216983,3.144675376585906,-1.2439395501813992,877.9408898222393,817.3184368265263
2642,RightBottom,13:41:35.465,28:12:11.848,2345.84,460.32,12.147,11.501,162,163,2337.423898464672,461.5282017648232,0.3484538096477261,0.0393776228278834,0.0472942176735165,25,0.0,6976.737243935871,9.222797736188095,-2.412156710735548,2345.463898464672,459.3382017648234
4750,LeftTop,13:42:28.5595,28:31:58.361,1198.76,2383.96,11.0,10.4,1030,1031,1189.178497355768,2386.086444057484,0.3720774298425259,-0.0393241954829553,0.1938140733766482,25,0.0,15926.064770664718,19.742793749408683,-3.2385215213028715,1197.218497355768,2383.8964440574846
5430,Center,13:42:12.1238,28:21:21.825,1554.07,1351.17,12.14,22.579,470,471,1545.5810315188223,1351.580390927111,0.448654210034671,0.2405449201731775,0.5200166127639797,25,0.0,1293.292715932218,1.5494719545145883,-0.4754592997606406,1553.6210315188223,1349.3903909271112
