,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad
28408,19,19,20,229.18144529843943,17.7256779298612,0.5208647749598762,0.0987390726279248,0.1323376798564035,25,0.0,1869.402031641387,2.025755432906689,13.5335324691945,22,22,23,228.93434830114515,17.396740321142936,0.5768259688421034,0.0745055906661185,-0.0823808517966349,25,0.0,2704.534389637718,3.683523852605673,12.884341283830818,-1339.065651698855,-1452.603259678857,149.9708254836561
32890,22,22,23,228.95597084440976,17.44110368362383,0.2961613083172492,-0.1156822159418404,-0.1239229206091929,25,0.0,2125.0554590003203,2.8362619175662824,13.168134165649937,22,22,23,228.93434830114515,17.396740321142936,0.5768259688421034,0.0745055906661185,-0.0823808517966349,25,0.0,2704.534389637718,3.683523852605673,12.884341283830818,-1339.065651698855,-1452.603259678857,149.9708254836561
180881,121,121,122,239.69999053666447,291.64560806149734,0.5063358128329064,-0.2077754456439754,-0.0315814666974643,25,0.0,545.8012690458365,1.0538721252392216,14.243030205901936,107,107,108,239.8346999416913,291.56274700832114,0.3579606031767701,0.2528354155795531,0.1812516230034957,25,0.0,728.5129016742595,1.3088069160247913,14.007811046896837,-1328.1653000583087,-1178.4372529916789,134.7854125914848
180884,121,121,122,239.69999053666447,291.64560806149734,0.5063358128329064,-0.2077754456439754,-0.0315814666974643,25,0.0,545.8012690458365,1.0538721252392216,14.243030205901936,110,110,111,240.21731290619132,291.8548440318427,0.2992745426993743,0.1543078689337184,-0.0124166220622928,25,0.0,743.7201928737751,1.3632837136312452,13.963534383813156,-1327.7826870938086,-1178.1451559681573,134.74897129942056
212296,142,142,143,1063.3579396335972,392.5313613485211,0.3502548735885585,0.2100007801004942,0.2083206064414096,25,0.0,1927.3499195274003,2.9598580659594336,13.121822785400395,148,148,149,1063.6530779077932,392.63189471336335,0.2690725665824662,-0.0807330042636826,-0.2785076152730675,25,0.0,2977.267087658533,4.304117091609158,12.715289805977298,-504.3469220922068,-1077.3681052866366,90.3006118151933
213790,143,143,144,1063.2920076083635,392.5661467522935,0.3134131183793592,0.150388786729697,-0.2621267736571976,25,0.0,1885.7005507017025,2.573386819241445,13.273737319515494,148,148,149,1063.6530779077932,392.63189471336335,0.2690725665824662,-0.0807330042636826,-0.2785076152730675,25,0.0,2977.267087658533,4.304117091609158,12.715289805977298,-504.3469220922068,-1077.3681052866366,90.3006118151933
239212,160,160,161,1218.737306652717,451.43730257403433,0.5744607505949804,-0.5474331022061276,0.9499739066129956,25,0.0,65386.26122434016,90.81613408409208,9.404592473376802,172,172,173,1218.4244618829778,452.3877229027081,0.578419878523983,-0.9812927570608106,0.4671572876671389,25,0.0,64251.68663343121,109.94199880683648,9.19709092895673,-349.57553811702223,-1017.6122770972919,81.67781263396982
242201,162,162,163,2345.3886204588043,459.2471154409212,0.3484538096477261,0.0393776228278834,0.0472942176735165,25,0.0,6976.737243935871,9.222797736188095,11.887843289264453,173,173,174,2345.514746898675,459.3780789741632,0.3734156925881398,-0.0946323406220105,-0.2317495501748833,25,0.0,10024.730707433368,15.129853934941574,11.350413161692709,777.5147468986752,-1010.6219210258369,96.79301480233647
421597,282,282,283,1853.871717186004,816.7261913765972,0.726492743136247,-0.1670374542546234,0.1470355132979247,25,0.0,977.3592066690516,1.65081469145402,13.755754186915349,289,289,290,1854.0160326798607,817.1913705452841,0.4145924091548492,-0.0133030460040893,0.0333894429544704,25,0.0,2681.789627926412,4.341773074072582,12.705832197513471,286.0160326798607,-652.8086294547159,54.10228119815182
423093,283,283,284,877.8656118163715,817.2273505026242,0.3328313168126403,0.050895833516114,0.0044916317746097,25,0.0,2248.5924104216983,3.144675376585906,13.056060449818602,291,291,292,877.8601015974639,817.2736215269953,0.4076050533695427,-0.0287988232714443,0.0248474461395881,25,0.0,3114.325626199811,4.4314372877255295,12.68363848077981,-690.1398984025361,-652.7263784730047,72.10829926564291
