Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.026915 0.28364 1.06296 0.8000000715 2.4187245369    0.800  2.276  3.5455  1.199    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-28      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -0.919 4.352 2.963 1.604 0.341 -1.139 -2.681 -3.534 -3.792
0.026915 0.28364 1.06296 0.8500000238 2.4350347519    0.850  2.329  3.5459  1.174    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.09e-28      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.053 4.233 2.821 1.452 0.194 -1.280 -2.813 -3.664 -3.923
0.026915 0.28364 1.06296 0.8999999762 2.4492788315    0.899  2.382  3.5460  1.146    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -8.5e-28      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.185 4.119 2.690 1.314 0.056 -1.414 -2.944 -3.795 -4.054
0.026915 0.28364 1.06296 0.9499999881 2.4618122578    0.950  2.426  3.5467  1.129    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.41e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.294 4.016 2.563 1.177 -0.073 -1.533 -3.052 -3.900 -4.159
0.026915 0.28364 1.06296 1.0000000000 2.4729156494    1.000  2.466  3.5472  1.113    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.27e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.396 3.920 2.445 1.050 -0.193 -1.643 -3.151 -3.999 -4.257
0.026915 0.28364 1.06296 1.0499999523 2.4828116894    1.050  2.508  3.5475  1.093    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.499 3.828 2.336 0.935 -0.305 -1.751 -3.254 -4.100 -4.358
0.026915 0.28364 1.06296 1.1000000238 2.4916803837    1.099  2.548  3.5476  1.074    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.600 3.740 2.236 0.829 -0.410 -1.853 -3.354 -4.199 -4.458
0.026915 0.28364 1.06296 1.1499999762 2.4996678829    1.149  2.584  3.5479  1.058    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.690 3.658 2.139 0.726 -0.510 -1.948 -3.444 -4.288 -4.547
0.026915 0.28364 1.06296 1.2000000477 2.5068950653    1.200  2.620  3.5480  1.041    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-27      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.781 3.579 2.049 0.631 -0.604 -2.040 -3.534 -4.377 -4.637
0.026915 0.28364 1.06296 1.2500000000 2.5134611130    1.250  2.654  3.5481  1.025    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.866 3.504 1.962 0.540 -0.694 -2.128 -3.618 -4.461 -4.721
