,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad,distance,Vmag,Bmag
756551,506,506,507,1605.0134084520969,1409.7440275726294,0.2133560321451812,0.1814839030319484,0.5555148541245601,25,0.0,1467.702047929224,1.0927070176938876,14.434243999546457,587,587,588,1603.2012003434818,1408.925208212529,0.2645289025607835,0.3302886767480051,-0.0683118056980981,25,0.0,2392.8394705566066,1.4396248526116489,14.220065677373317,35.20120034348179,-61.074791787470986,0.7147984193432245,0.7147984193432245,14.220065677373317,14.434243999546457
756554,506,506,507,1605.0134084520969,1409.7440275726294,0.2133560321451812,0.1814839030319484,0.5555148541245601,25,0.0,1467.702047929224,1.0927070176938876,14.434243999546457,590,590,591,1603.0438155521176,1409.204915492401,0.6037077687540701,-0.4147449502853899,0.2333081865521996,25,0.0,2398.6306990667645,1.6304019046394054,14.073057243626158,35.04381555211762,-60.795084507599086,0.7115442046140283,0.7115442046140283,14.073057243626158,14.434243999546457
759545,508,508,509,1467.1946028346872,1411.3214211324416,0.3487143580584617,-0.0877208653280765,-0.6061144989957389,25,0.0,1031.5723608299786,1.4278490925153322,14.130593677221876,593,593,594,1466.3479056657957,1411.709353136397,0.424840611143617,0.1414050379074265,-0.0380887411455794,25,0.0,2057.5547562571182,2.6851687367748576,13.483675556022256,-101.65209433420432,-58.29064686360289,1.1881963473397616,1.1881963473397616,13.483675556022256,14.130593677221876
764027,511,511,512,1466.2241149549202,1412.028553744578,0.4694236424307055,0.3061699109817468,0.0262028034886168,25,0.0,959.8298726668036,1.1370070709638471,14.389133854554782,593,593,594,1466.3479056657957,1411.709353136397,0.424840611143617,0.1414050379074265,-0.0380887411455794,25,0.0,2057.5547562571182,2.6851687367748576,13.483675556022256,-101.65209433420432,-58.29064686360289,1.1881963473397616,1.1881963473397616,13.483675556022256,14.389133854554782
771500,516,516,517,1525.3069017380858,1414.410086821643,0.610301878618501,-0.1858783063343619,0.0836052544863471,25,0.0,1960.422958707917,1.0632342934915138,14.465280475283858,596,596,597,1524.7010289865188,1414.4318013158772,0.3772922150424772,-0.2602546516189858,0.3792496132697438,25,0.0,2637.809924587476,2.145858037701231,13.74853278533688,-43.29897101348115,-55.56819868412276,0.7143214813460596,0.7143214813460596,13.74853278533688,14.465280475283858
771503,516,516,517,1525.3069017380858,1414.410086821643,0.610301878618501,-0.1858783063343619,0.0836052544863471,25,0.0,1960.422958707917,1.0632342934915138,14.465280475283858,599,599,600,1524.664144290537,1414.0072522047535,0.5478491324083294,0.005415708050813,0.283279638681276,25,0.0,2708.0973067530776,2.133193293161978,13.755525543697653,-43.335855709462976,-55.99274779524649,0.717950968891078,0.717950968891078,13.755525543697653,14.465280475283858
771505,516,516,517,1525.3069017380858,1414.410086821643,0.610301878618501,-0.1858783063343619,0.0836052544863471,25,0.0,1960.422958707917,1.0632342934915138,14.465280475283858,601,601,602,1524.8218246116044,1413.9198120778797,0.2299279453872537,0.0992515228944353,0.0259515521303744,25,0.0,2583.7210583312126,1.927834831250275,13.875101954806148,-43.17817538839563,-56.08018792212033,0.7176758128115122,0.7176758128115122,13.875101954806148,14.465280475283858
780472,522,522,523,1575.9890671107578,1419.0879913862825,0.7536866903064641,-0.6447211001800929,0.2645530020296314,25,0.0,2233.2829573025765,1.1995420338310183,14.328360429956726,604,604,605,1575.7515670924702,1418.1151436415737,0.4313890355393739,0.1820646748425787,-0.1289654003071216,25,0.0,4206.7836541602655,3.6408821920023056,13.123983725234543,7.751567092470168,-51.884856358426305,0.5319515044977084,0.5319515044977084,13.123983725234543,14.328360429956726
781966,523,523,524,1576.0190721586137,1418.477922417612,0.3291111183890564,0.886392389170011,0.0410920467295659,25,0.0,2233.999263307476,1.4528539055257204,14.110887697454633,604,604,605,1575.7515670924702,1418.1151436415737,0.4313890355393739,0.1820646748425787,-0.1289654003071216,25,0.0,4206.7836541602655,3.6408821920023056,13.123983725234543,7.751567092470168,-51.884856358426305,0.5319515044977084,0.5319515044977084,13.123983725234543,14.110887697454633
784961,525,525,526,1453.700036351643,1422.4584142177434,0.6548652622639322,0.1825444340310819,0.3636248441106555,25,0.0,1252.5668950542697,1.4692135906297126,14.098177531159132,611,611,612,1453.3219115445845,1422.861759635043,0.3499822947943998,-0.0875293487509137,0.0361994492086807,25,0.0,3136.5210637428013,4.13170700934047,12.974588268102536,-114.67808845541549,-47.13824036495703,1.257240508998137,1.257240508998137,12.974588268102536,14.098177531159132
786449,526,526,527,1605.5534293726907,1420.7933843724788,0.3361924608691804,-0.2473000864677604,-0.3519492346237285,25,0.0,2007.1921556596467,1.5303104411338462,14.05193000058494,605,605,606,1607.1169950080507,1420.4286145714962,0.4853968911065381,-0.1984516236341351,-0.0612111566264232,25,0.0,3310.402008349582,3.178254316828611,13.284518217089312,39.11699500805071,-49.571385428503845,0.6403039916847781,0.6403039916847781,13.284518217089312,14.05193000058494
787949,527,527,528,1452.9812450145112,1422.7932460649636,0.3049725136973218,-0.0319892369875305,0.1947918879599746,25,0.0,1269.8226909898394,1.3337821706894115,14.20795097398822,611,611,612,1453.3219115445845,1422.861759635043,0.3499822947943998,-0.0875293487509137,0.0361994492086807,25,0.0,3136.5210637428013,4.13170700934047,12.974588268102536,-114.67808845541549,-47.13824036495703,1.257240508998137,1.257240508998137,12.974588268102536,14.20795097398822
789440,528,528,529,1709.98969591727,1422.1220545082813,0.4576814312305411,0.1446695993092365,0.1692304318326081,25,0.0,866.8850084719518,1.1998634727721669,14.328056301653758,608,608,609,1710.394608532491,1422.1437964464417,0.3410936078087088,-0.1892451600087114,0.0772659653733032,25,0.0,2109.5898851406987,2.624448713446972,13.510695593450192,142.39460853249102,-47.856203553558316,1.5232440422100637,1.5232440422100637,13.510695593450192,14.328056301653758
