,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
0,1,21.002756457094776,0.6204996924099897,0.7914880508440933,-0.3768533399150898,-0.5486009808327047,25,0.0,301.63361694258447,1.727665778081644,-0.5936493268764547
1,2,38.24191938644758,0.7320453602466365,0.7473879549462082,-0.07900823499323589,-0.6174429490911246,25,0.0,251.38918868787096,1.3424460664075335,-0.31974211668855657
2,3,51.01366650076886,0.6918926502045548,0.6192643424873536,0.22314016852127552,-0.30038907787983576,25,0.0,235.1112662457624,1.4077683665427636,-0.37132800525396337
3,4,218.92370178035787,0.03061922784065163,0.23836472427653566,0.14754102938363453,-0.42611053416566513,25,0.0,143.69228748669798,1.1192305436383831,-0.12229888369648653
4,5,472.02224499155756,0.2647898161552511,0.6420322827923259,0.17745326897914987,-0.08795956355098548,25,0.0,181.69426813322025,1.3482604885551805,-0.32443451872707174
5,6,486.08437892695645,0.17197965643018343,0.8834020331634005,-0.029469816395272064,-0.36742603535952173,25,0.0,205.2650155100796,1.3071901856155577,-0.29084694629358754
6,7,725.8545886191052,0.05696347707246019,0.7724062067182234,0.1826856807712471,0.14952151046300813,25,0.0,161.41348089230928,1.225094545814932,-0.22042401591720445
7,8,853.9189444401239,-0.6213014911425123,0.920979194945188,0.19379051859739946,0.29563257762679435,25,0.0,158.11496616544855,1.0794626295162855,-0.0830190296543319
8,9,2473.871091811347,-0.972976470328637,0.9884544732185591,0.08100896983043877,0.46708367916975,25,0.0,145.24101587932978,1.0666007872951317,-0.07000474978708916
9,10,2644.9066308480405,0.007146045649290889,0.6224150198845204,0.0489171180577025,0.6044429592536971,25,0.0,98.73053980600412,1.030798250040106,-0.0329341814720742
10,11,3053.9650993245123,0.7034818670772025,0.6704502378939688,0.5296432566288819,0.381477659021141,25,0.0,283.42926476777234,1.8372543592004347,-0.6604232162272504
11,12,1152.5203141780582,3.498994090530485,0.987746215296645,-0.8872539345886885,-0.08255684001388736,25,0.0,157.75923414217164,1.1777632285186106,-0.1776449772244623
12,13,2273.808394152861,5.1824864735403136,0.983539106341058,-0.34137487296851876,0.16574675567274783,25,0.0,184.07594378373824,1.5850742906197763,-0.5001240547915641
13,14,2319.339708740332,6.870448895573219,0.8882822457644095,-0.5200285551407021,-0.08393491870970225,25,0.0,126.63264202239702,1.1968526320454027,-0.19510169800946298
14,15,3014.1164121399793,7.208155830695106,0.7057992966878323,0.29277899636787225,-0.8369402115676652,25,0.0,243.60652847379606,1.197215532572588,-0.19543085676102384
15,16,404.86366342348896,7.762066619961105,0.9222776777910013,0.35718737822253294,0.1408287510677614,25,0.0,183.34072714471608,1.03463385668092,-0.03696671468468478
16,17,2456.515347779632,8.718169293270995,0.9293058499714137,0.7494461947873086,-0.03238672836276328,25,0.0,366.093458935788,2.6155669771889114,-1.0439146138632598
17,18,1212.8452094450083,10.98572880427053,0.9304738797814532,-0.7688865397664387,-0.10025588295720055,25,0.0,154.72221278048164,1.2463466479409633,-0.23909712496925375
18,19,2199.0347761703983,10.692327412064959,0.9160473660454935,0.5244563648241135,0.2380039244033479,25,0.0,140.14642303719233,1.2913446996675342,-0.2776054607818925
19,20,1292.3398945402075,13.763581067188529,0.39709503930050316,-0.7457010660675394,-0.7587066325812727,25,0.0,96.60775957391684,1.3233477644108134,-0.3041849701019781
20,21,1307.5761989823961,15.014799808200294,0.7235819536944157,-0.4121158808320607,-0.8037173580408085,25,0.0,143.24593872123705,1.2759196589512714,-0.2645583223801294
21,22,3048.9599757852957,15.556284743922426,0.9253538578157735,0.3017907725849028,0.5704432521645371,25,0.0,418.2332620308023,1.9893805812574838,-0.7467946859773231
22,23,228.93434830114515,17.396740321142936,0.5768259688421034,0.07450559066611856,-0.08238085179663499,25,0.0,2704.534389637718,3.6835238526056733,-1.4156587161691827
23,24,599.603678151357,17.101577644664566,0.8694054110542211,-0.07719908852307596,-0.28011875479182646,25,0.0,218.82605261465528,1.5334779942712315,-0.46419387036726445
24,25,962.9195036769013,18.651492546277716,0.904844558442172,-0.3282836233930005,0.10968149831364515,25,0.0,281.0854477772891,2.067473381856047,-0.7885998171002108
25,26,2935.9674523447525,21.38232300412588,0.8312666863173976,-0.21262577803784513,-0.09376031634739866,25,0.0,193.48702203417065,1.1076105487552586,-0.1109677081596095
26,27,1739.4887853948615,22.65415803834434,0.542723365421534,0.04024155599356912,0.20708911476463762,25,0.0,140.34109428358238,1.3403369380326726,-0.3180349659387114
27,28,619.7423488186203,28.93529251402873,0.9723014642548551,0.08825860869044952,-0.34621086514642524,25,0.0,178.68799517090997,1.0787641270429005,-0.08231624024757284
28,29,663.971261854836,31.336933345252667,0.6473150069075406,-0.00880950172434673,0.20044958173582897,25,0.0,162.60574616296276,1.3544039609178042,-0.32937053796304744
29,30,16.785654998466427,31.839355070435584,0.9622428749406339,-0.4005445659659496,-0.20585284362562056,25,0.0,278.5750781212141,1.2677754488574666,-0.2576058429372506
30,31,2107.376638624556,32.14175794444728,0.778259427143374,-0.3140997693924429,0.02584623067860173,25,0.0,150.99968299976445,1.2712207198915952,-0.2605524072833349
31,32,182.01876486271263,32.83706550553282,0.8693240589361982,-0.38605812712214693,-0.3265075633191983,25,0.0,338.96431831879863,1.8544213722496843,-0.6705210597560614
32,33,1348.1795014226193,34.85298575369081,0.8737172251587746,-0.10241120069116089,-0.002633511787547782,25,0.0,160.1309670951921,1.4357096574748802,-0.3926665543171889
