,Unnamed: 0,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
0,0,1,21.002756457094776,0.6204996924099897,0.7914880508440933,-0.3768533399150898,-0.5486009808327047,25,0.0,301.63361694258447,1.727665778081644,14.00460590866789
1,1,2,38.24191938644758,0.7320453602466365,0.7473879549462082,-0.0790082349932358,-0.6174429490911246,25,0.0,251.38918868787096,1.3424460664075335,14.302627318001155
2,2,3,51.01366650076886,0.6918926502045548,0.6192643424873536,0.2231401685212755,-0.3003890778798357,25,0.0,235.1112662457624,1.4077683665427636,14.246499919231969
3,3,4,218.92370178035787,0.0306192278406516,0.2383647242765356,0.1475410293836345,-0.4261105341656651,25,0.0,143.69228748669798,1.1192305436383831,14.517453026748464
4,4,5,472.0222449915576,0.2647898161552511,0.6420322827923259,0.1774532689791498,-0.0879595635509854,25,0.0,181.69426813322025,1.3482604885551803,14.297521807022758
5,5,6,486.0843789269565,0.1719796564301834,0.8834020331634005,-0.029469816395272,-0.3674260353595217,25,0.0,205.2650155100796,1.3071901856155577,14.33406635678413
6,6,7,725.8545886191052,0.0569634770724601,0.7724062067182234,0.1826856807712471,0.1495215104630081,25,0.0,161.41348089230928,1.225094545814932,14.410689169837319
7,7,8,853.9189444401239,-0.6213014911425123,0.920979194945188,0.1937905185973994,0.2956325776267943,25,0.0,158.11496616544855,1.0794626295162857,14.560190994296004
8,8,9,2473.871091811347,-0.972976470328637,0.9884544732185592,0.0810089698304387,0.46708367916975,25,0.0,145.24101587932978,1.0666007872951315,14.574351023251916
9,9,10,2644.9066308480405,0.0071460456492908,0.6224150198845204,0.0489171180577025,0.6044429592536971,25,0.0,98.73053980600412,1.030798250040106,14.614685204328957
10,10,11,3053.9650993245123,0.7034818670772025,0.6704502378939688,0.5296432566288819,0.381477659021141,25,0.0,283.42926476777234,1.837254359200435,13.93195339033025
11,11,12,1152.5203141780582,3.498994090530485,0.987746215296645,-0.8872539345886885,-0.0825568400138873,25,0.0,157.75923414217164,1.1777632285186106,14.457234382693848
12,12,13,2273.808394152861,5.1824864735403136,0.983539106341058,-0.3413748729685187,0.1657467556727478,25,0.0,184.07594378373824,1.5850742906197763,14.106364943692546
13,13,14,2319.339708740332,6.870448895573219,0.8882822457644095,-0.5200285551407021,-0.0839349187097022,25,0.0,126.63264202239702,1.1968526320454027,14.438240809917453
14,14,15,3014.1164121399797,7.208155830695106,0.7057992966878323,0.2927789963678722,-0.8369402115676652,25,0.0,243.6065284737961,1.197215532572588,14.437882672740386
15,15,16,404.86366342348896,7.762066619961105,0.9222776777910012,0.3571873782225329,0.1408287510677614,25,0.0,183.34072714471608,1.03463385668092,14.61029765560258
16,16,17,2456.515347779632,8.718169293270995,0.9293058499714136,0.7494461947873086,-0.0323867283627632,25,0.0,366.093458935788,2.6155669771889114,13.514700238387785
17,17,18,1212.8452094450083,10.98572880427053,0.9304738797814532,-0.7688865397664387,-0.1002558829572005,25,0.0,154.72221278048164,1.2463466479409633,14.390372120598244
18,18,19,2199.0347761703983,10.69232741206496,0.9160473660454936,0.5244563648241135,0.2380039244033479,25,0.0,140.1464230371923,1.2913446996675342,14.348473594078666
19,19,20,1292.3398945402075,13.763581067188529,0.3970950393005031,-0.7457010660675394,-0.7587066325812727,25,0.0,96.60775957391684,1.3233477644108134,14.319554082169779
20,20,21,1307.576198982396,15.014799808200294,0.7235819536944157,-0.4121158808320607,-0.8037173580408085,25,0.0,143.24593872123705,1.2759196589512714,14.3626693743635
21,21,22,3048.959975785296,15.556284743922426,0.9253538578157736,0.3017907725849028,0.5704432521645371,25,0.0,418.2332620308023,1.989380581257484,13.837977962945756
22,22,23,228.93434830114515,17.396740321142936,0.5768259688421034,0.0745055906661185,-0.0823808517966349,25,0.0,2704.534389637718,3.683523852605673,13.11022858828211
23,23,24,599.603678151357,17.101577644664566,0.8694054110542211,-0.0771990885230759,-0.2801187547918264,25,0.0,218.82605261465528,1.5334779942712315,14.145458343944362
24,24,25,962.9195036769012,18.65149254627772,0.904844558442172,-0.3282836233930005,0.1096814983136451,25,0.0,281.0854477772891,2.067473381856047,13.792492398377892
25,25,26,2935.9674523447525,21.38232300412588,0.8312666863173976,-0.2126257780378451,-0.0937603163473986,25,0.0,193.48702203417065,1.1076105487552586,14.529781774504269
26,26,27,1739.4887853948617,22.65415803834434,0.542723365421534,0.0402415559935691,0.2070891147646376,25,0.0,140.34109428358238,1.3403369380326726,14.304484762615571
27,27,28,619.7423488186203,28.93529251402873,0.9723014642548552,0.0882586086904495,-0.3462108651464252,25,0.0,178.68799517090997,1.0787641270429005,14.56095565576411
28,28,29,663.971261854836,31.336933345252667,0.6473150069075406,-0.0088095017243467,0.2004495817358289,25,0.0,162.60574616296276,1.3544039609178042,14.292151231315048
29,29,30,16.785654998466427,31.839355070435584,0.962242874940634,-0.4005445659659496,-0.2058528436256205,25,0.0,278.5750781212141,1.2677754488574666,14.370233935079174
30,30,31,2107.376638624556,32.14175794444728,0.778259427143374,-0.3140997693924429,0.0258462306786017,25,0.0,150.99968299976445,1.2712207198915952,14.36702796157264
31,31,32,182.01876486271263,32.83706550553282,0.8693240589361982,-0.3860581271221469,-0.3265075633191983,25,0.0,338.96431831879863,1.8544213722496845,13.920966554468505
32,32,33,1348.1795014226193,34.85298575369081,0.8737172251587746,-0.1024112006911608,-0.0026335117875477,25,0.0,160.1309670951921,1.4357096574748802,14.223282770400484
