,Id,GaiaEDR3,Name,RAJ2000,DEJ2000,Bmag,Vmag,recno,distance
861,220304,1454785210768079744,M3-S287     ,205.4280731678,28.39237765312,16.202,15.382,28939,7.2771929445118255
1715,220999,1454880176785137920,M3-S621     ,205.54635481437,28.49851001845,19.677,19.233,29793,7.275032350121668
785,220061,1454785000310855936,M3-S264     ,205.42744806608,28.37113796181,20.343,19.901,28863,7.267416582004239
1499,220673,1454875920474926592,M3-S672     ,205.65597267151,28.43271268845,16.752,15.978,29577,7.260137140911691
1476,220298,1454875439438565504,M3-S885     ,205.66850058238,28.39171651522,17.2,16.478,29554,7.256976194711234
743,219882,1454784794152063360,M3-S253     ,205.42926373482,28.35692503823,19.147,18.675,28821,7.252673487995858
749,219756,1454784798451204352,M3-S254     ,205.43111991882,28.34810934491,20.476,20.015,28827,7.252092246316534
437,219265,1454782114092329728,M3-S1531    ,205.4683380127,28.28686330477,19.317,18.891,28515,7.246629092659803
1665,220921,1454879145992923008,M3-S652     ,205.61623663902,28.477196064,18.504,17.855,29743,7.245719449425481
475,219611,1454783247970768128,M3-S266     ,205.43517308235,28.33551093022,19.399,18.968,28553,7.241968429779232
1711,220991,1454880108065653888,M3-S625     ,205.55505410035,28.49767786556,18.854,18.432,29789,7.2350230195814795
327,219015,1454779605831351552,M3-S1601    ,205.5626274387,28.25761754831,19.022,18.591,28405,7.230024739046745
1225,220766,1454797472895647360,M3-S1513    ,205.4492003123,28.44519041697,18.766,18.295,29303,7.213982645194489
1408,219786,1454874202487891456,M3-S1695    ,205.66556062698,28.35022084504,17.179,16.445,29486,7.21371173151634
1161,220535,1454796991859264896,M3-S355     ,205.4343782266,28.4152055751,19.889,19.441,29239,7.210789558442093
739,219830,1454784794152058240,M3-S261     ,205.43072400093,28.3532926321,19.023,18.538,28817,7.206661055936442
781,220029,1454785000310509312,M3-S267     ,205.42865192095,28.36840702812,19.173,18.723,28859,7.20552563763813
824,220207,1454785103389744896,M3-S280     ,205.42849825223,28.38325217671,20.415,19.976,28902,7.203991135543739
859,220330,1454785210762889344,M3-S301     ,205.42996527354,28.39526783837,19.898,19.457,28937,7.188552115062087
346,219423,1454780018148338304,M3-S1671    ,205.64594788551,28.30771586789,18.974,18.495,28424,7.187794602631184
330,219067,1454779678850310784,M3-S845     ,205.58842771848,28.26444282214,16.602,15.83,28408,7.1831024991039065
1159,220469,1454796961798609920,M3-S333     ,205.43289510409,28.40851828045,17.616,16.927,29237,7.180246652143957
794,220121,1454785034670257152,M3-S277     ,205.42895728747,28.3759589492,20.476,20.018,28872,7.167959020951734
745,219873,1454784794152418944,M3-S265     ,205.43084346453,28.35643328561,20.051,19.612,28823,7.164352133661613
